0,1,2,3,4,5
Engadget,Kris Holt,Lucid EVs will be able to access Tesla's Superchargers starting in 2025,"Lucid's electric vehicles will be able to plug into over 15,000 Tesla Superchargers in North America starting in 2025. The automaker is the latest entry in the growing list of companies pledging to support the North American Charging Standard (NACS), also kno…",2023-11-07T05:50:45Z,"Lucid's electric vehicles will be able to plug into over 15,000 Tesla Superchargers in North America starting in 2025. The automaker is the latest entry in the growing list of companies pledging to s… [+1591 chars]"
Engadget,Mariella Moon,Revel is shutting down its shared electric moped service,"Revel is leaving behind its roots and ending its (at times controversial) electric moped service New York City and San Francisco. Company CEO and co-founder Frank Reig has sent a company-wide email, viewed by TechCrunch, telling staff that ""the service has be…",2023-11-04T11:30:46Z,"Revel is leaving behind its roots and ending its (at times controversial) electric moped service New York City and San Francisco. Company CEO and co-founder Frank Reig has sent a company-wide email, … [+1490 chars]"
Engadget,Will Shanklin,"EVs are way more unreliable than gas-powered cars, Consumer Reports data indicates","Consumer Reports has published an extensive ranking of vehicle reliability, and the results pour cold water on the dependability of EVs and plug-in hybrids. The survey says electric vehicles suffer from 79 percent more maintenance issues than gas- or diesel-p…",2023-11-29T21:22:16Z,"Consumer Reports has published an extensive ranking of vehicle reliability, and the results pour cold water on the dependability of EVs and plug-in hybrids. The survey says electric vehicles suffer f… [+3335 chars]"
Wired,Adrienne So,Black Friday Deals on Electric Bikes (2023): Rad and Aventon,"Electric bike deals are rolling for Black Friday. Pick up your new neighborhood ride from Aventon, Rad Power, Jackrabbit, or Specialized.",2023-11-18T13:00:00Z,"We here at WIRED are big fans of bikes, electric bikes, bike accessories, and any vehicles, policies, or infrastructure that advance active transportation. Getting people more active as they go about… [+3354 chars]"
The Verge,Andrew J. Hawkins,Tesla Cybertruck will usher in a new ‘Powershare’ bidirectional charging feature,"Tesla’s Cybertruck will be the company’s first vehicle to feature vehicle-to-load, or bidirectional charging. That allows customers to charge equipment, another EV, or even power their whole home from their Cybertruck.",2023-11-30T21:47:26Z,"Tesla Cybertruck will usher in a new Powershare bidirectional charging feature
Tesla Cybertruck will usher in a new Powershare bidirectional charging feature
 / The EV maker finally jumps on the ve… [+2497 chars]"
Engadget,Mariella Moon,"Lucid cuts prices on Air luxury EVs by up to $10,000","Lucid is selling several of its electric vehicle models at a discount until November 30, and as Reuters notes, it's another sign that the EV market is going through period of slow demand in the midst of tougher competition. The automaker is now selling the 20…",2023-11-04T09:15:29Z,"Lucid is selling several of its electric vehicle models at a discount until November 30, and as Reuters notes, it's another sign that the EV market is going through period of slow demand in the midst… [+1450 chars]"
Wired,Adrienne So,Black Friday Deals on Electric Bikes (2023): Rad and Aventon,"Electric bike deals are rolling for Black Friday. Pick up your new neighborhood ride from Aventon, Rad Power, Jackrabbit, or Specialized.",2023-11-25T19:11:20Z,"We here at WIRED are big fans of bikes, electric bikes, bike accessories, and any vehicles, policies, or infrastructure that advance active transportation. Getting people more active as they go about… [+6174 chars]"
Wired,Parker Hall,Ford F-150 Lightning Platinum Review: Time's Up for ICE Trucks,"From powering your home to towing a massive trailer, this all-electric truck can do everything (except road trips) better than the previous fossil-fueled generation.",2023-11-17T14:00:00Z,"I come from a long line of F-150s. One of my earliest vehicular memories is bouncing around in the back of a red, late-90s step-side that my grandpa trucked around his cattle ranch in the Sierra Neva… [+4394 chars]"
Slashdot.org,EditorDavid,Are Car Dealers Slowing the Adoption of Electric Vehicles?,"""Dealers don't want to change the model. They want to be the gatekeepers."" That's according to Daniel Crane, a law professor at the University of Michigan who studies the laws and economics of car dealerships. He's quoted in a Washington Post article warning …",2023-11-11T23:55:00Z,"""Dealers don't want to change the model. They want to be the gatekeepers."" That's according to Daniel Crane, a law professor at the University of Michigan who studies the laws and economics of car de… [+3264 chars]"
The Verge,Umar Shakir,Einride’s drone truck has its first full-time job moving GE appliances around,"Einride’s driverless and cab-free autonomous truck is taking delivery trips up to seven times per day for GE Appliances in Selmer, Tennessee.",2023-11-13T19:55:18Z,"Einrides drone truck has its first full-time job moving GE appliances around
Einrides drone truck has its first full-time job moving GE appliances around
 / The driverless trucks take equipment on … [+1893 chars]"
