,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
0,18,midsize car,21,4.0,2.2,fwd,gas,26,toyota,Camry,a,1993
1,19,midsize car,22,4.0,2.2,fwd,gas,27,toyota,Camry,m,1993
2,16,midsize car,19,6.0,3.0,fwd,gas,22,toyota,Camry,a,1993
3,16,midsize car,18,6.0,3.0,fwd,gas,22,toyota,Camry,m,1993
4,18,midsize-large station wagon,21,4.0,2.2,fwd,gas,26,toyota,Camry,a,1993
5,23,compact car,24,4.0,1.6,fwd,gas,26,toyota,Corolla,a,1993
6,23,compact car,26,4.0,1.6,fwd,gas,31,toyota,Corolla,m,1993
7,23,compact car,25,4.0,1.8,fwd,gas,30,toyota,Corolla,a,1993
8,23,compact car,26,4.0,1.8,fwd,gas,30,toyota,Corolla,m,1993
9,23,small station wagon,25,4.0,1.8,fwd,gas,30,toyota,Corolla,a,1993
10,21,special purpose vehicle,23,4.0,2.0,fwd,gas,26,toyota,RAV4,a,1996
11,21,special purpose vehicle,24,4.0,2.0,fwd,gas,27,toyota,RAV4,m,1996
12,19,special purpose vehicle,21,4.0,2.0,awd,gas,24,toyota,RAV4,a,1996
13,19,special purpose vehicle,21,4.0,2.0,awd,gas,24,toyota,RAV4,m,1996
14,21,special purpose vehicle,23,4.0,2.0,fwd,gas,26,toyota,RAV4,a,1997
15,19,sport utility vehicle,22,4.0,2.4,fwd,gas,25,toyota,Highlander,a,2001
16,17,sport utility vehicle,18,6.0,3.0,fwd,gas,21,toyota,Highlander,a,2001
17,17,sport utility vehicle,19,4.0,2.4,awd,gas,22,toyota,Highlander,a,2001
18,16,sport utility vehicle,18,6.0,3.0,awd,gas,21,toyota,Highlander,a,2001
19,19,sport utility vehicle,22,4.0,2.4,fwd,gas,25,toyota,Highlander,a,2002
20,42,compact car,41,4.0,1.5,fwd,gas,41,toyota,Prius,a,2001
21,42,compact car,41,4.0,1.5,fwd,gas,41,toyota,Prius,a,2002
22,42,compact car,41,4.0,1.5,fwd,gas,41,toyota,Prius,a,2003
23,48,midsize car,46,4.0,1.5,fwd,gas,45,toyota,Prius,a,2004
24,48,midsize car,46,4.0,1.5,fwd,gas,45,toyota,Prius,a,2005
25,19,small pickup truck,21,4.0,2.4,rwd,gas,23,toyota,Tacoma,a,1995
26,19,small pickup truck,22,4.0,2.4,rwd,gas,26,toyota,Tacoma,m,1995
27,17,small pickup truck,18,6.0,3.4,rwd,gas,20,toyota,Tacoma,a,1995
28,17,small pickup truck,19,6.0,3.4,rwd,gas,21,toyota,Tacoma,m,1995
29,16,standard pickup truck,18,4.0,2.7,awd,gas,19,toyota,Tacoma,a,1995
30,15,standard pickup truck,16,6.0,3.4,rwd,gas,18,toyota,Tundra,a,2000
31,15,standard pickup truck,16,6.0,3.4,rwd,gas,18,toyota,Tundra,m,2000
32,14,standard pickup truck,15,8.0,4.7,rwd,gas,17,toyota,Tundra,a,2000
33,14,standard pickup truck,15,6.0,3.4,awd,gas,16,toyota,Tundra,a,2000
34,14,standard pickup truck,15,6.0,3.4,awd,gas,16,toyota,Tundra,m,2000
35,29,subcompact car,31,4.0,1.5,fwd,gas,35,toyota,Yaris,a,2007
36,29,subcompact car,32,4.0,1.5,fwd,gas,36,toyota,Yaris,m,2007
37,29,subcompact car,31,4.0,1.5,fwd,gas,35,toyota,Yaris,a,2008
38,29,subcompact car,32,4.0,1.5,fwd,gas,36,toyota,Yaris,m,2008
39,29,subcompact car,32,4.0,1.5,fwd,gas,36,toyota,Yaris,m,2009
40,18,large car,21,6.0,3.0,fwd,gas,26,toyota,Avalon,a,1995
41,18,large car,21,6.0,3.0,fwd,gas,26,toyota,Avalon,a,1996
42,18,large car,22,6.0,3.0,fwd,gas,28,toyota,Avalon,a,1997
43,19,large car,22,6.0,3.0,fwd,gas,27,toyota,Avalon,a,1998
44,19,large car,22,6.0,3.0,fwd,gas,27,toyota,Avalon,a,1999
45,15,special purpose vehicle,17,6.0,3.0,rwd,gas,19,toyota,4Runner,a,1993
46,16,special purpose vehicle,17,4.0,2.4,awd,gas,18,toyota,4Runner,a,1993
47,17,special purpose vehicle,18,4.0,2.4,awd,gas,20,toyota,4Runner,m,1993
48,12,special purpose vehicle,13,6.0,3.0,awd,gas,15,toyota,4Runner,a,1993
49,13,special purpose vehicle,14,6.0,3.0,awd,gas,17,toyota,4Runner,m,1993
50,17,minicompact car,19,6.0,3.0,rwd,gas,22,toyota,Supra,a,1994
51,16,minicompact car,18,6.0,3.0,rwd,gas,22,toyota,Supra,a,1994
52,16,minicompact car,18,6.0,3.0,rwd,gas,22,toyota,Supra,m,1994
53,15,minicompact car,18,6.0,3.0,rwd,gas,22,toyota,Supra,m,1994
54,16,minicompact car,18,6.0,3.0,rwd,gas,22,toyota,Supra,a,1995
