,city_mpg,class,combination_mpg,cylinders,displacement,drive,fuel_type,highway_mpg,make,model,transmission,year
0,18,2,21,4.0,2.2,2,2,26,24,33,0,1993
1,19,2,22,4.0,2.2,2,2,27,24,33,1,1993
2,16,2,19,6.0,3.0,2,2,22,24,33,0,1993
3,16,2,18,6.0,3.0,2,2,22,24,33,1,1993
4,18,4,21,4.0,2.2,2,2,26,24,33,0,1993
5,23,0,24,4.0,1.6,2,2,26,24,37,0,1993
6,23,0,26,4.0,1.6,2,2,31,24,37,1,1993
7,23,0,25,4.0,1.8,2,2,30,24,37,0,1993
8,23,0,26,4.0,1.8,2,2,30,24,37,1,1993
9,23,9,25,4.0,1.8,2,2,30,24,37,0,1993
10,21,10,23,4.0,2.0,2,2,26,24,104,0,1996
11,21,10,24,4.0,2.0,2,2,27,24,104,1,1996
12,19,10,21,4.0,2.0,1,2,24,24,104,0,1996
13,19,10,21,4.0,2.0,1,2,24,24,104,1,1996
14,21,10,23,4.0,2.0,2,2,26,24,104,0,1997
15,19,11,22,4.0,2.4,2,2,25,24,59,0,2001
16,17,11,18,6.0,3.0,2,2,21,24,59,0,2001
17,17,11,19,4.0,2.4,1,2,22,24,59,0,2001
18,16,11,18,6.0,3.0,1,2,21,24,59,0,2001
19,19,11,22,4.0,2.4,2,2,25,24,59,0,2002
20,42,0,41,4.0,1.5,2,2,41,24,94,0,2001
21,42,0,41,4.0,1.5,2,2,41,24,94,0,2002
22,42,0,41,4.0,1.5,2,2,41,24,94,0,2003
23,48,2,46,4.0,1.5,2,2,45,24,94,0,2004
24,48,2,46,4.0,1.5,2,2,45,24,94,0,2005
25,19,7,21,4.0,2.4,3,2,23,24,123,0,1995
26,19,7,22,4.0,2.4,3,2,26,24,123,1,1995
27,17,7,18,6.0,3.4,3,2,20,24,123,0,1995
28,17,7,19,6.0,3.4,3,2,21,24,123,1,1995
29,16,12,18,4.0,2.7,1,2,19,24,123,0,1995
30,15,12,16,6.0,3.4,3,2,18,24,133,0,2000
31,15,12,16,6.0,3.4,3,2,18,24,133,1,2000
32,14,12,15,8.0,4.7,3,2,17,24,133,0,2000
33,14,12,15,6.0,3.4,1,2,16,24,133,0,2000
34,14,12,15,6.0,3.4,1,2,16,24,133,1,2000
35,29,14,31,4.0,1.5,2,2,35,24,141,0,2007
36,29,14,32,4.0,1.5,2,2,36,24,141,1,2007
37,29,14,31,4.0,1.5,2,2,35,24,141,0,2008
38,29,14,32,4.0,1.5,2,2,36,24,141,1,2008
39,29,14,32,4.0,1.5,2,2,36,24,141,1,2009
40,18,1,21,6.0,3.0,2,2,26,24,23,0,1995
41,18,1,21,6.0,3.0,2,2,26,24,23,0,1996
42,18,1,22,6.0,3.0,2,2,28,24,23,0,1997
43,19,1,22,6.0,3.0,2,2,27,24,23,0,1998
44,19,1,22,6.0,3.0,2,2,27,24,23,0,1999
45,15,10,17,6.0,3.0,3,2,19,24,2,0,1993
46,16,10,17,4.0,2.4,1,2,18,24,2,0,1993
47,17,10,18,4.0,2.4,1,2,20,24,2,1,1993
48,12,10,13,6.0,3.0,1,2,15,24,2,0,1993
49,13,10,14,6.0,3.0,1,2,17,24,2,1,1993
50,17,5,19,6.0,3.0,3,2,22,24,121,0,1994
51,16,5,18,6.0,3.0,3,2,22,24,121,0,1994
52,16,5,18,6.0,3.0,3,2,22,24,121,1,1994
53,15,5,18,6.0,3.0,3,2,22,24,121,1,1994
54,16,5,18,6.0,3.0,3,2,22,24,121,0,1995
55,16,10,19,6.0,3.0,2,2,23,24,114,0,1998
56,16,6,19,6.0,3.0,2,2,22,24,114,0,1999
57,16,6,19,6.0,3.0,2,2,22,24,114,0,2000
58,17,6,19,6.0,3.0,2,2,23,24,114,0,2001
59,17,6,19,6.0,3.0,2,2,23,24,114,0,2002
60,11,10,12,6.0,4.5,1,2,14,24,69,0,1993
61,10,10,11,6.0,4.2,1,2,12,24,69,1,1985
62,11,10,12,6.0,4.5,1,2,14,24,69,0,1994
63,12,10,13,6.0,4.5,1,2,14,24,69,0,1995
64,12,10,13,6.0,4.5,1,2,14,24,69,0,1996
65,27,0,29,4.0,2.0,2,2,31,24,27,0,2018
66,27,0,29,4.0,2.0,2,2,31,24,27,0,2019
67,27,0,29,4.0,2.0,2,2,31,24,27,0,2020
68,27,0,29,4.0,2.0,2,2,31,24,27,0,2021
69,27,0,29,4.0,2.0,2,2,31,24,27,0,2022
70,55,2,54,4.0,1.8,2,2,53,24,95,0,2017
71,55,2,54,4.0,1.8,2,2,53,24,95,0,2018
72,55,2,54,4.0,1.8,2,2,53,24,95,0,2019
73,55,2,54,4.0,1.8,2,2,53,24,95,0,2020
74,55,2,54,4.0,1.8,2,2,53,24,95,0,2021
75,40,8,38,4.0,2.5,1,2,36,24,105,0,2021
76,40,8,38,4.0,2.5,1,2,36,24,105,0,2022
77,88,1,89,5.154621848739496,2.7603361344537816,3,1,90,23,77,0,2012
78,94,1,95,5.154621848739496,2.7603361344537816,3,1,97,23,77,0,2013
79,88,1,89,5.154621848739496,2.7603361344537816,3,1,90,23,77,0,2013
80,93,1,94,5.154621848739496,2.7603361344537816,3,1,96,23,77,0,2013
81,88,1,89,5.154621848739496,2.7603361344537816,3,1,90,23,77,0,2014
82,131,2,126,5.154621848739496,2.7603361344537816,3,1,120,23,74,0,2017
83,136,2,130,5.154621848739496,2.7603361344537816,3,1,123,23,74,0,2018
84,120,2,116,5.154621848739496,2.7603361344537816,1,1,112,23,74,0,2018
85,120,2,116,5.154621848739496,2.7603361344537816,1,1,112,23,74,0,2018
86,128,2,123,5.154621848739496,2.7603361344537816,3,1,117,23,74,0,2018
87,90,13,92,5.154621848739496,2.7603361344537816,1,1,94,23,79,0,2016
88,89,13,89,5.154621848739496,2.7603361344537816,1,1,90,23,79,0,2016
89,91,13,93,5.154621848739496,2.7603361344537816,1,1,95,23,79,0,2016
90,91,13,93,5.154621848739496,2.7603361344537816,1,1,94,23,79,0,2016
91,81,13,86,5.154621848739496,2.7603361344537816,1,1,92,23,79,0,2016
92,129,8,121,5.154621848739496,2.7603361344537816,1,1,112,23,81,0,2020
93,116,8,111,5.154621848739496,2.7603361344537816,1,1,106,23,81,0,2020
94,127,8,121,5.154621848739496,2.7603361344537816,1,1,114,23,81,0,2020
95,131,8,125,5.154621848739496,2.7603361344537816,1,1,117,23,81,0,2021
96,115,8,111,5.154621848739496,2.7603361344537816,1,1,106,23,81,0,2021
97,18,15,22,8.0,5.0,3,2,30,17,109,1,1995
98,20,15,23,4.0,1.9,3,2,29,3,109,0,1996
99,20,15,23,4.0,1.9,3,2,29,3,109,1,1996
100,20,15,23,4.0,1.9,3,2,29,3,109,0,1997
101,20,15,23,4.0,1.9,3,2,29,3,109,1,1997
102,131,2,126,5.154621848739496,2.7603361344537816,3,1,120,23,75,0,2017
103,136,2,130,5.154621848739496,2.7603361344537816,3,1,123,23,75,0,2018
104,120,2,116,5.154621848739496,2.7603361344537816,1,1,112,23,75,0,2018
105,120,2,116,5.154621848739496,2.7603361344537816,1,1,112,23,75,0,2018
106,136,2,130,5.154621848739496,2.7603361344537816,3,1,123,23,75,0,2019
107,118,2,113,5.154621848739496,2.7603361344537816,1,1,107,23,76,0,2021
108,118,2,113,5.154621848739496,2.7603361344537816,1,1,107,23,76,0,2022
109,118,2,113,5.154621848739496,2.7603361344537816,1,1,107,23,76,0,2023
110,102,1,101,5.154621848739496,2.7603361344537816,1,1,99,23,78,0,2021
111,119,1,116,5.154621848739496,2.7603361344537816,1,1,112,23,78,0,2022
112,102,1,101,5.154621848739496,2.7603361344537816,1,1,99,23,78,0,2022
113,99,13,96,5.154621848739496,2.7603361344537816,1,1,93,23,80,0,2019
114,99,13,96,5.154621848739496,2.7603361344537816,1,1,93,23,80,0,2020
115,109,13,105,5.154621848739496,2.7603361344537816,1,1,101,23,80,0,2021
116,108,13,105,5.154621848739496,2.7603361344537816,1,1,101,23,80,0,2020
117,14,12,15,6.0,3.9,3,2,17,4,106,0,1994
118,15,12,17,6.0,3.9,3,2,19,4,106,1,1994
119,12,12,13,8.0,5.2,3,2,16,4,106,0,1994
120,12,12,14,8.0,5.2,3,2,17,4,106,1,1994
121,11,12,12,8.0,5.9,3,2,15,4,106,0,1994
122,19,0,21,4.0,2.4,2,2,26,15,17,0,1994
123,21,0,24,4.0,2.4,2,2,28,15,17,1,1994
124,18,0,21,4.0,2.4,2,2,26,15,17,0,1995
125,21,0,24,4.0,2.4,2,2,28,15,17,1,1995
126,18,0,21,4.0,2.4,2,2,26,15,17,0,1996
127,22,11,24,4.0,2.5,2,2,27,15,110,0,2008
128,21,11,23,4.0,2.5,1,2,26,15,110,0,2008
129,22,11,24,4.0,2.5,2,2,27,15,110,0,2009
130,21,11,23,4.0,2.5,1,2,26,15,110,0,2009
131,22,11,24,4.0,2.5,2,2,27,15,110,0,2010
132,106,2,99,5.154621848739496,2.7603361344537816,2,1,92,15,70,0,2011
133,106,2,99,5.154621848739496,2.7603361344537816,2,1,92,15,70,0,2012
134,129,2,115,5.154621848739496,2.7603361344537816,2,1,102,15,70,0,2013
135,126,2,114,5.154621848739496,2.7603361344537816,2,1,101,15,70,0,2014
136,126,2,114,5.154621848739496,2.7603361344537816,2,1,101,15,70,0,2015
137,23,14,26,4.0,1.6,2,2,32,15,113,0,1994
138,25,14,28,4.0,1.6,2,2,34,15,113,1,1994
139,21,14,23,4.0,2.0,2,2,27,15,113,0,1994
140,21,14,23,4.0,2.0,2,2,28,15,113,1,1994
141,23,14,26,4.0,1.6,2,2,31,15,113,0,1995
142,15,10,16,6.0,3.0,3,2,19,15,92,0,1993
143,14,10,15,6.0,3.0,3,2,17,15,92,1,1993
144,14,10,15,6.0,3.0,1,2,17,15,92,0,1993
145,14,10,15,6.0,3.0,1,2,17,15,92,1,1993
146,14,10,15,6.0,3.0,3,2,17,15,92,0,1994
147,18,11,20,6.0,3.5,2,2,23,15,82,0,2003
148,18,11,20,6.0,3.5,1,2,23,15,82,0,2003
149,18,11,20,6.0,3.5,2,2,23,15,82,0,2004
150,18,11,20,6.0,3.5,1,2,23,15,82,0,2004
151,18,11,20,6.0,3.5,2,2,23,15,82,0,2005
