,city,CO_concentration,CO_aqi,NO2_concentration,NO2_aqi,O3_concentration,O3_aqi,SO2_concentration,SO2_aqi,PM2.5_concentration,PM2.5_aqi,PM10_concentration,PM10_aqi,overall_aqi,area
0,Washington,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Washington D.C.
1,Arlington,263.69,2,9.17,11,84.4,123,3.07,4,11.68,37,12.86,11,123,Virginia
2,Alexandria,220.3,2,0.75,0,85.83,127,2.62,3,39.78,98,215.43,130,130,Virginia
3,Fairfax,580.79,6,75.4,94,2.3,1,3.55,5,15.25,49,19.79,18,94,Virginia
4,Rockville,447.27,5,56.21,70,14.13,11,4.41,6,10.67,34,14.02,12,70,Maryland
5,Bethesda,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Maryland
6,Silver Spring,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Maryland
7,Reston,580.79,6,75.4,94,2.3,1,3.55,5,15.25,49,19.79,18,94,Virginia
8,Frederick,360.49,4,21.76,27,40.05,33,1.07,1,5.54,17,7.44,6,33,Maryland
9,Gaithersburg,447.27,5,56.21,70,14.13,11,4.41,6,10.67,34,14.02,12,70,Maryland
10,Annapolis,453.95,5,40.44,50,28.61,24,5.13,7,8.39,27,13.23,12,50,Maryland
11,Bowie,487.33,5,59.63,74,5.63,4,2.12,3,8.25,26,13.78,12,74,Maryland
12,College Park,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
13,Greenbelt,453.95,5,58.26,72,12.16,10,5.72,8,9.18,29,13.78,12,72,Maryland
14,Laurel,267.03,3,8.48,10,24.68,20,0.12,0,10.52,34,13.7,12,34,Maryland
15,Cumberland,260.35,2,4.88,6,69.38,82,0.78,1,2.44,7,2.85,2,82,Maryland
16,Hagerstown,323.77,3,16.11,20,50.07,42,0.45,0,4.72,15,5.92,5,42,Maryland
17,Salisbury,250.34,2,16.28,20,22.17,18,1.51,2,6.13,19,7.19,6,20,Maryland
18,Westminster,337.12,3,43.87,54,0.02,0,5.6,8,12.65,41,14.4,13,54,Maryland
19,Hyattsville,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
20,Takoma Park,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Maryland
21,Chevy Chase,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Maryland
22,Kensington,337.12,3,43.87,54,0.02,0,5.6,8,12.65,41,14.4,13,54,Maryland
23,Poolesville,407.22,4,38.39,47,26.82,22,1.42,2,10.43,33,13.02,12,47,Maryland
24,Bladensburg,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
25,Mount Rainier,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
26,Riverdale Park,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
27,Berwyn Heights,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
28,New Carrollton,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
29,Glenarden,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
30,Brentwood,280.38,3,9.0,11,62.94,62,0.7,1,3.97,12,9.75,9,62,Maryland
31,Capitol Heights,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
32,Colmar Manor,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
33,Cottage City,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
34,Cheverly,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
35,Edmonston,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
36,Fairmount Heights,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
37,Forest Heights,270.37,3,6.68,8,59.37,51,1.01,1,0.72,2,1.11,1,51,Maryland
38,Landover Hills,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
39,Morningside,310.42,3,60.32,75,0.13,0,19.31,28,10.71,34,12.28,11,75,Maryland
40,North Brentwood,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
41,Seat Pleasant,627.52,7,62.38,77,0.11,0,3.22,4,14.62,47,19.05,17,77,Maryland
42,University Park,607.49,6,51.41,64,0.87,0,3.28,4,11.07,35,23.07,21,64,Maryland
43,Upper Marlboro,487.33,5,59.63,74,5.63,4,2.12,3,8.25,26,13.78,12,74,Maryland
44,Vienna,253.68,2,3.9,4,49.35,41,0.34,0,0.78,2,1.22,1,41,Virginia
45,Falls Church,634.19,7,77.46,96,0.76,0,4.05,5,15.93,51,19.89,18,96,Virginia
46,Manassas,514.03,5,58.26,72,11.27,9,1.83,2,14.58,47,19.06,17,72,Virginia
47,Leesburg,257.02,2,2.36,2,70.81,86,0.29,0,7.02,22,8.41,7,86,Virginia
48,Herndon,240.33,2,3.13,3,62.94,62,0.2,0,1.79,5,2.05,1,62,Virginia
49,Purcellville,340.46,3,19.71,24,43.63,36,1.33,1,7.16,23,8.82,8,36,Virginia
50,Warrenton,387.19,4,28.1,35,32.54,27,0.97,1,10.17,33,12.21,11,35,Virginia
51,Culpeper,333.79,3,13.37,16,39.7,33,0.27,0,5.27,17,6.65,6,33,Virginia
52,Winchester,260.35,2,19.19,23,15.38,13,1.51,2,6.79,22,8.01,7,23,Virginia
