"",101096660
one,4262974
people,4186087
new,4103689
also,3197330
even,3001408
please,2889836
think,2882364
state,2838511
de,2740262
it’s,2594921
know,2441120
texas,2404851
time,2234610
good,2218993
go,2210200
see,2152956
make,2126184
going,2058084
really,2051969
live,2001166
much,1996779
still,1982442
*,1952967
florida,1923836
want,1893938
i’m,1890082
post,1886470
us,1872591
got,1856047
california,1796842
back,1779751
questions,1709348
>,1691020
years,1672779
moderators,1670574
never,1668818
action,1634539
many,1597752
lot,1573870
way,1571383
first,1562572
don’t,1544515
it.,1542908
performed,1537514
*i,1536173
"bot,",1519042
automatically.,1511228
[contact,1510618
concerns.*,1505299
need,1467445
take,1392036
use,1383331
every,1376160
say,1334440
que,1302075
right,1298264
york,1296456
last,1268141
said,1263941
around,1250618
two,1247408
year,1219705
since,1193012
find,1190827
sure,1180651
made,1178182
may,1161234
work,1122933
actually,1119007
something,1105417
ohio,1105353
better,1099463
pretty,1095435
always,1091949
probably,1072075
well,1068172
great,1067691
2,1063848
look,1053701
big,1042701
best,1040500
o,1038221
looking,1035801
long,1034030
love,1023228
someone,1010453
washington,1004798
things,1002709
city,1002462
used,979064
states,971496
went,961130
left,960776
michigan,958381
la,949594
getting,940896
3,933439
day,932075
without,909309
